treatment,plant,day,num_sdb
wheast_spray,35,5,0
wheast_spray,35,6,1
wheast_spray,35,7,0
wheast_spray,35,8,0
wheast_spray,35,9,0
wheast_spray,35,10,1
wheast_spray,35,11,0
wheast_spray,35,12,0
wheast_spray,35,14,0
wheast_spray,35,15,0
wheast_spray,35,16,0
wheast_spray,35,17,0
wheast_spray,35,18,0
wheast_spray,35,19,0
wheast_spray,35,20,0
wheast_spray,35,21,0
wheast_spray,35,22,0
wheast_spray,35,23,0
wheast_spray,35,24,0
wheast_spray,35,25,0
wheast_spray,35,26,0
wheast_spray,35,27,0
wheast_spray,35,28,0
wheast_spray,35,29,0
wheast_spray,35,30,0
wheast_spray,35,31,0
wheast_spray,35,32,0
wheast_spray,35,33,0
wheast_spray,35,34,0
wheast_spray,41,0.041666667,0.875
wheast_spray,41,0.166666667,1.75
wheast_spray,41,0.333333333,1.5
wheast_spray,41,1,1.25
wheast_spray,41,2,0.875
wheast_spray,41,3,1
wheast_spray,41,4,0.25
wheast_spray,41,5,0
wheast_spray,41,6,0.375
wheast_spray,41,7,0.25
wheast_spray,41,8,0.125
wheast_spray,41,9,0.25
wheast_spray,41,10,0.125
wheast_spray,41,11,0
wheast_spray,41,12,0
wheast_spray,41,14,0.125
wheast_spray,41,15,0
wheast_spray,41,16,0
wheast_spray,41,17,0
wheast_spray,41,18,0
wheast_spray,41,19,0
wheast_spray,41,20,0
wheast_spray,41,21,0
wheast_spray,41,22,0
wheast_spray,41,23,0
wheast_spray,41,24,0
wheast_spray,41,25,0
wheast_spray,41,26,0
wheast_spray,41,27,0
wheast_spray,41,28,0
wheast_spray,41,29,0
wheast_spray,41,30,0
wheast_spray,41,31,0
wheast_spray,41,32,0
wheast_spray,41,33,0
wheast_spray,41,34,0
sprite,9,0.041666667,3
sprite,9,0.166666667,1
sprite,9,0.333333333,0
sprite,9,1,1
sprite,9,2,0
sprite,9,3,0
sprite,9,4,0
sprite,9,5,0
sprite,9,6,0
sprite,9,7,0
sprite,9,8,0
sprite,9,9,0
sprite,9,10,0
sprite,9,11,0
sprite,9,12,0
sprite,9,14,0
sprite,9,15,0
sprite,9,16,0
sprite,9,17,0
sprite,9,18,0
sprite,9,19,0
sprite,9,20,0
sprite,9,21,0
sprite,9,22,0
sprite,9,23,0
sprite,9,24,0
sprite,9,25,0
sprite,9,26,0
sprite,9,27,0
sprite,9,28,0
sprite,9,29,0
sprite,9,30,0
sprite,9,31,0
sprite,9,32,0
sprite,9,33,0
sprite,9,34,0
sprite,11,0.041666667,4
sprite,11,0.166666667,1
sprite,11,0.333333333,3
sprite,11,1,2
sprite,11,2,1
sprite,11,3,0
sprite,11,4,0
sprite,11,5,0
sprite,11,6,0
sprite,11,7,0
sprite,11,8,1
sprite,11,9,0
sprite,11,10,0
sprite,11,11,0
sprite,11,12,0
sprite,11,14,0
sprite,11,15,0
sprite,11,16,0
sprite,11,17,0
sprite,11,18,0
sprite,11,19,0
sprite,11,20,0
sprite,11,21,1
sprite,11,22,0
sprite,11,23,0
sprite,11,24,0
sprite,11,25,0
sprite,11,26,0
sprite,11,27,0
sprite,11,28,1
sprite,11,29,1
sprite,11,30,0
sprite,11,31,0
sprite,11,32,0
sprite,11,33,0
sprite,11,34,0
sprite,13,0.041666667,2
sprite,13,0.166666667,2
sprite,13,0.333333333,1
sprite,13,1,0
sprite,13,2,0
sprite,13,3,1
sprite,13,4,0
sprite,13,5,0
sprite,13,6,1
sprite,13,7,1
sprite,13,8,1
sprite,13,9,0
sprite,13,10,0
sprite,13,11,0
sprite,13,12,1
sprite,13,14,1
sprite,13,15,2
sprite,13,16,1
sprite,13,17,0
sprite,13,18,0
sprite,13,19,0
sprite,13,20,0
sprite,13,21,0
sprite,13,22,0
sprite,13,23,0
sprite,13,24,0
sprite,13,25,0
sprite,13,26,0
sprite,13,27,0
sprite,13,28,0
sprite,13,29,0
sprite,13,30,0
sprite,13,31,0
sprite,13,32,0
sprite,13,33,0
sprite,13,34,0
sprite,15,0.041666667,2
sprite,15,0.166666667,2
sprite,15,0.333333333,1
sprite,15,1,2
sprite,15,2,1
sprite,15,3,0
sprite,15,4,0
sprite,15,5,0
sprite,15,6,0
sprite,15,7,0
sprite,15,8,0
sprite,15,9,0
sprite,15,10,0
sprite,15,11,0
sprite,15,12,0
sprite,15,14,0
sprite,15,15,0
sprite,15,16,0
sprite,15,17,0
sprite,15,18,0
sprite,15,19,0
sprite,15,20,0
sprite,15,21,0
sprite,15,22,0
sprite,15,23,0
sprite,15,24,0
sprite,15,25,0
sprite,15,26,0
sprite,15,27,0
sprite,15,28,0
sprite,15,29,0
sprite,15,30,0
sprite,15,31,0
sprite,15,32,0
sprite,15,33,0
sprite,15,34,0
sprite,24,0.041666667,4
sprite,24,0.166666667,3
sprite,24,0.333333333,2
sprite,24,1,2
sprite,24,2,0
sprite,24,3,0
sprite,24,4,0
sprite,24,5,0
sprite,24,6,0
sprite,24,7,0
sprite,24,8,0
sprite,24,9,0
sprite,24,10,0
sprite,24,11,0
sprite,24,12,0
sprite,24,14,0
sprite,24,15,0
sprite,24,16,0
sprite,24,17,0
sprite,24,18,0
sprite,24,19,0
sprite,24,20,0
sprite,24,21,0
sprite,24,22,0
sprite,24,23,0
sprite,24,24,0
sprite,24,25,0
sprite,24,26,0
sprite,24,27,0
sprite,24,28,0
sprite,24,29,0
sprite,24,30,0
sprite,24,31,0
sprite,24,32,0
sprite,24,33,0
sprite,24,34,0
sprite,27,0.041666667,2
sprite,27,0.166666667,2
sprite,27,0.333333333,2
sprite,27,1,0
sprite,27,2,1
sprite,27,3,0
sprite,27,4,0
sprite,27,5,0
sprite,27,6,0
sprite,27,7,0
sprite,27,8,1
sprite,27,9,1
sprite,27,10,1
sprite,27,11,0
sprite,27,12,0
sprite,27,14,0
sprite,27,15,0
sprite,27,16,0
sprite,27,17,0
sprite,27,18,0
sprite,27,19,0
sprite,27,20,0
sprite,27,21,0
sprite,27,22,0
sprite,27,23,0
sprite,27,24,0
sprite,27,25,0
sprite,27,26,0
sprite,27,27,0
sprite,27,28,0
sprite,27,29,0
sprite,27,30,0
sprite,27,31,0
sprite,27,32,0
sprite,27,33,0
sprite,27,34,0
sprite,38,0.041666667,0
sprite,38,0.166666667,0
sprite,38,0.333333333,0
sprite,38,1,0
sprite,38,2,0
sprite,38,3,0
sprite,38,4,0
sprite,38,5,0
sprite,38,6,0
sprite,38,7,0
sprite,38,8,0
sprite,38,9,0
sprite,38,10,0
sprite,38,11,0
sprite,38,12,0
sprite,38,14,0
sprite,38,15,0
sprite,38,16,0
sprite,38,17,0
sprite,38,18,0
sprite,38,19,0
sprite,38,20,0
sprite,38,21,0
sprite,38,22,0
sprite,38,23,0
sprite,38,24,0
sprite,38,25,0
sprite,38,26,0
sprite,38,27,0
sprite,38,28,0
sprite,38,29,0
sprite,38,30,0
sprite,38,31,0
sprite,38,32,0
sprite,38,33,0
sprite,38,34,0
sprite,39,0.041666667,2
sprite,39,0.166666667,2
sprite,39,0.333333333,0
sprite,39,1,1
sprite,39,2,0
sprite,39,3,0
sprite,39,4,0
sprite,39,5,0
sprite,39,6,0
sprite,39,7,0
sprite,39,8,0
sprite,39,9,0
sprite,39,10,0
sprite,39,11,0
sprite,39,12,0
sprite,39,14,0
sprite,39,15,0
sprite,39,16,0
sprite,39,17,0
sprite,39,18,0
sprite,39,19,0
sprite,39,20,0
sprite,39,21,0
sprite,39,22,0
sprite,39,23,0
sprite,39,24,0
sprite,39,25,0
sprite,39,26,0
sprite,39,27,0
sprite,39,28,0
sprite,39,29,0
sprite,39,30,0
sprite,39,31,0
sprite,39,32,0
sprite,39,33,0
sprite,39,34,0
sprite,41,0.041666667,2.375
sprite,41,0.166666667,1.625
sprite,41,0.333333333,1.125
sprite,41,1,1
sprite,41,2,0.375
sprite,41,3,0.125
sprite,41,4,0
sprite,41,5,0
sprite,41,6,0.125
sprite,41,7,0.125
sprite,41,8,0.375
sprite,41,9,0.125
sprite,41,10,0.125
sprite,41,11,0
sprite,41,12,0.125
sprite,41,14,0.125
sprite,41,15,0.25
sprite,41,16,0.125
sprite,41,17,0
sprite,41,18,0
sprite,41,19,0
sprite,41,20,0
sprite,41,21,0.125
sprite,41,22,0
sprite,41,23,0
sprite,41,24,0
sprite,41,25,0
sprite,41,26,0
sprite,41,27,0
sprite,41,28,0.125
sprite,41,29,0.125
sprite,41,30,0
sprite,41,31,0
sprite,41,32,0
sprite,41,33,0
sprite,41,34,0
